,ID,logL_agn,logL_ir,logL_ir_eup,logL_ir_elow,ul,
0,J002025,47.14,46.00840539,0.140272291,0.208484788,1,1.02E+46
1,J222247,47.22,45.3657576,0.187275426,0.336421971,0,2.32E+45
2,J090000,47.18,46.3204208,0.137626453,0.202635939,1,2.09E+46
3,J085847,47.12,46.64471452,0.096293555,0.123913247,1,4.41E+46
4,J085823,46.87,46.61139239,0.071882007,0.086186148,1,4.09E+46
5,J101112,47.23,46.07070314,0.24454864,0.612783857,0,1.18E+46
6,J095112,46.83,46.25364079,0.162308123,0.262125611,0,1.79E+46
7,J091247,46.86,46.4163908,0.10221714,0.133930662,1,2.61E+46
8,J091047,47.05,46.70277006,0.104886646,0.138567593,1,5.04E+46
9,J111312,47.02,46.06961946,0.215516975,0.446777238,0,1.17E+46
10,J083247,46.85,47.1123358,0.029289376,0.031408464,1,1.30E+47
11,J082136,46.86,45.93491501,0.152610163,0.237360916,0,8.61E+45
12,J081935,46.97,46.45935166,0.077412223,0.094269917,1,2.88E+46
13,J111935,46.98,46.09669499,0.150049457,0.231138825,0,1.25E+46
14,J113159,47.1,46.14507076,0.147201694,0.224364323,0,1.40E+46
15,J005228,46.81,46.44709317,0.067140628,0.079452765,1,1.88E+46
16,J122647,46.97,46.24356356,0.228385761,0.511369099,1,1.75E+46
17,J123136,47.08,46.29515861,0.129201784,0.184744985,1,1.97E+46
18,J124800,46.88,46.12906685,0.208856065,0.417418362,0,1.35E+46
19,J095423,46.99,46.83659891,0.028577233,0.03059094,1,1.33E+47
20,J135600,46.89,45.94829973,0.143765594,0.216385854,1,1.91E+46
21,J141823,47.09,46.34956512,0.02698349,0.028771743,1,6.91E+46
22,J215711,46.98,46.4826744,0.163096439,0.264227348,0,1.36E+46
23,J210824,47.38,46.34572757,0.131948778,0.190460207,1,5.09E+46
24,J212335,47.67,45.87102111,0.16946068,0.28172484,0,9.76E+45
25,J233447,47.39,46.76478829,0.008389723,0.008554994,1,7.61E+46
26,J005814,47.2,46.1277699,0.085088145,0.105923788,1,1.34E+46
27,J005202,47.14,45.83696715,0.227029262,0.503993401,0,6.87E+45
28,J010611,47.01,46.65072774,0.035327962,0.038458252,1,4.47E+46
29,J010226,46.97,46.67267212,0.055625214,0.063811076,1,4.71E+46
