ID,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul,z
SDSSJ020950.71-000506.4,47.64,46.87,0,0,1,2.856
SDSSJ073502.30+265911.5,47.65,46.55,0,0,1,1.982
SDSSJ074521.78+473436.1,48.03,46.83,0,0,1,3.225
SDSSJ080117.79+521034.5,47.8,47.01,0,0,1,3.263
SDSSJ090033.50+421547.0,47.98,46.54,0,0,1,3.294
SDSSJ121549.81-003432.1,47.62,46.77,0,0,1,2.707
SDSSJ123714.60+064759.5,47.15,46.92,0,0,1,2.781
SDSSJ125005.72+263107.5,47.92,46.21,0,0,0,2.044
SDSSJ170100.60+641209.3,47.98,46.85,0,0,1,2.737
SDSSJ212329.46-005052.9,47.71,46.27,0,0,1,2.283
SDSSJ234625.66-001600.4,47.5,46.79,0,0,1,3.512
