,ID,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul
17,359,44.749,45.423,0.07,0.07,1
10,93,44.877,45.393,0,0,0
11,199,44.369,45.833,0,0,0
12,215,44.369,45.263,0,0,0
13,277,44.749,45.783,0,0,0
14,290,45.005,45.073,0,0,0
15,301,44.495,45.993,0,0,0
16,310,44.369,45.223,0,0,0
18,410,44.621,45.823,0.12,0.12,1
19,456,44.369,45.423,0,0,0
20,466,44.495,45.453,0,0,0
0,522,44.621,45.413,0,0,0
21,633,44.749,45.733,0.02,0.02,1
22,cid580,46.189,45.393,0,0,0
1,cid558,46.593,45.113,0.18,0.18,1
23,cid529,46.323,45.383,0,0,0
25,cid451,46.323,44.723,0.19,0.19,1
30,cid1127,45.658,45.073,0,0,0
27,cid1216,45.658,45.443,0,0,0
8,cid659,45.526,44.873,0.12,0.12,1
7,cid351,46.323,45.203,0,0,0
26,cid352,46.323,44.993,0.04,0.04,1
5,cid1215,45.658,45.043,0,0,0
2,cid72,46.323,45.433,0,0,0
4,cid149,46.458,45.413,0,0,0
29,cid965,45.79,44.993,0.19,0.19,1
24,cid914,45.526,45.183,0.18,0.18,1
35,cid124,45.923,45.383,0,0,0
3,cid83,46.189,45.413,0,0,0
28,cid970,46.323,45.783,0,0,0
31,cid75,46.458,46.313,0.05,0.05,1
9,cid365,46.189,46.133,0,0,0
33,cid58,46.189,45.993,0,0,0
