,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul
0,43.61739675,45.53147892,0.084320886,0.070581074,1
1,44.27022613,45.50514998,0.09017663,0.074633618,1
2,44.71922069,45.49136169,0.111150452,0.088421903,1
3,44.84778328,45.62324929,0.06694679,0.057991947,1
4,44.97825197,45.5797836,0.102662342,0.082974235,1
5,45.23653567,45.47712125,0.045757491,0.041392685,1
6,45.34752788,45.63346846,0.077165955,0.065501549,1
7,45.43127032,45.56820172,0.063051746,0.055047566,1
8,45.53781426,45.5797836,0.061269657,0.053684859,1
9,45.63543762,45.5797836,0.102662342,0.082974235,1
10,45.73119642,45.74818803,0.094975513,0.071355909,1
11,45.94973871,45.462398,0.082186756,0.056115942,1
12,46.07608798,45.76342799,0.04742465,0.04275198,1
13,46.26192232,45.47712125,0.176091259,0.146128036,1
14,46.73334996,45.69019608,0.121994356,0.095133755,1
