,ID,logSFR,logSFR_elow,logSFR_eup,ul,z,SFR,SFR_elow,SFR_eup
0,88,2.3,0.04,0.04,1,1.616,199.5262315,7.98104926,7.98104926
0,93,1.81,0,0,0,2.573,64.5654229,0,0
0,199,2.25,0,0,0,2.42,177.827941,0,0
0,211,1.71,0.17,0.17,1,1.6,51.2861384,8.718643528,8.718643528
0,215,1.68,0,0,0,2.402,47.86300923,0,0
0,257,2.07,0,0,0,1.536,117.4897555,0,0
0,277,2.2,0,0,0,2.21,158.4893192,0,0
0,290,1.49,0,0,0,2.54,30.90295433,0,0
0,301,2.41,0,0,0,2.47,257.0395783,0,0
0,310,1.64,0,0,0,2.39,43.65158322,0,0
0,344,1.76,0,0,0,1.617,57.54399373,0,0
0,359,1.84,0.07,0.07,1,2.728,69.18309709,4.842816796,4.842816796
0,410,2.24,0.12,0.12,1,2.53,173.7800829,20.85360994,20.85360994
0,456,1.84,0,0,0,3.17,69.18309709,0,0
0,466,1.87,0,0,0,2.78,74.13102413,0,0
0,522,1.83,0,0,0,2.12,67.60829754,0,0
0,633,2.15,0.02,0.02,1,2.3,141.2537545,2.825075089,2.825075089
0,cid434,1.63,0,0,0,1.53,42.65795188,0,0
0,cid580,1.81,0,0,0,2.11,64.5654229,0,0
0,cid558,1.53,0.18,0.18,1,3.1,33.88441561,6.099194811,6.099194811
0,cid330,1.65,0,0,0,1.753,44.66835922,0,0
0,cid529,1.8,0,0,0,3.017,63.09573445,0,0
0,cid474,1.11,0.27,0.27,1,1.796,12.88249552,3.47827379,3.47827379
0,cid451,1.14,0.19,0.19,1,2.45,13.80384265,2.622730103,2.622730103
0,cid1127,1.49,0,0,0,2.39,30.90295433,0,0
0,cid532,1.82,0,0,0,1.796,66.0693448,0,0
0,cid1216,1.86,0,0,0,2.663,72.44359601,0,0
0,cid659,1.29,0.12,0.12,1,2.045,19.498446,2.33981352,2.33981352
0,cid1214,1.62,0,0,0,1.59,41.68693835,0,0
0,cid351,1.62,0,0,0,2.018,41.68693835,0,0
0,cid352,1.41,0.04,0.04,1,2.498,25.70395783,1.028158313,1.028158313
0,cid1215,1.46,0,0,0,2.45,28.84031503,0,0
0,cid72,1.85,0,0,0,2.475,70.79457844,0,0
0,cid149,1.83,0,0,0,2.955,67.60829754,0,0
0,cid1144,1.64,0,0,0,1.912,43.65158322,0,0
,,1.46,0,0,0,1.831,28.84031503,0,0
,,1.53,0.18,0.18,1,1.598,33.88441561,6.099194811,6.099194811
,,1.41,0.19,0.19,1,3.178,25.70395783,4.883751987,4.883751987
,,1.6,0.18,0.18,1,2.146,39.81071706,7.16592907,7.16592907
,,1.8,0,0,0,3.07,63.09573445,0,0
,,1.83,0,0,0,3.075,67.60829754,0,0
,,1.83,0,0,0,1.936,67.60829754,0,0
,,2.2,0,0,0,2.501,158.4893192,0,0
,,2.73,0.05,0.05,1,3.029,537.0317964,26.85158982,26.85158982
,,2.11,0,0,0,1.932,128.8249552,0,0
,,2.55,0,0,0,2.671,354.8133892,0,0
,,2.41,0,0,0,2.798,257.0395783,0,0
,,2.48,0.06,0.06,1,1.787,301.995172,18.11971032,18.11971032
,,2.48,0,0,0,1.914,301.995172,0,0
