wl,1,2,3,4,5,6,7
1,0.4487,0.2731,0.7372,-99,-99,-99,-99
2,0.901,0.5484,1.4802,-99,-99,-99,-99
3,0.9262,0.5841,1.4687,-99,-99,-99,-99
4,0.937,0.6112,1.4364,-99,-99,-99,-99
5,0.9322,0.6283,1.3832,-99,-99,-99,-99
6,0.9111,0.6338,1.3098,-99,-99,-99,-99
7,0.8821,0.6328,1.2296,-99,-99,-99,-99
8,0.8752,0.6469,1.1841,-99,-99,-99,-99
9,0.922,0.7015,1.2118,-99,-99,-99,-99
10,0.9838,0.7699,1.2571,-99,-99,-99,-99
11,0.9971,0.802,1.2396,-99,-99,-99,-99
12,0.9537,0.7878,1.1545,-99,-99,-99,-99
13,0.908,0.7698,1.0709,-99,-99,-99,-99
14,0.9033,0.7855,1.0388,-99,-99,-99,-99
15,0.9418,0.8395,1.0567,-99,-99,-99,-99
16,0.9998,0.9129,1.095,-99,-99,-99,-99
17,1.0389,0.9711,1.1114,-99,-99,-99,-99
18,1.0406,0.9953,1.0879,-99,-99,-99,-99
19,1.0226,1.0004,1.0453,-99,-99,-99,-99
20,1,1,1,1,1,1,1
21,0.9824,1.0038,0.9615,0.9837,0.9717,1.0049,1.0031
22,0.9675,1.0096,0.9272,0.953,0.9405,0.9779,0.993
23,0.9432,1.0047,0.8854,0.9285,0.9025,0.9627,0.982
24,0.9049,0.9836,0.8325,0.9048,0.8637,0.9391,0.9636
25,0.8561,0.9492,0.7722,0.8847,0.821,0.9199,0.9512
26,0.8139,0.9201,0.72,0.8653,0.7888,0.906,0.939
27,0.7743,0.8921,0.672,0.847,0.76,0.8906,0.9268
28,0.7391,0.8676,0.6296,0.8286,0.7328,0.8746,0.9153
29,0.7164,0.8567,0.5991,0.8116,0.7016,0.86,0.9048
30,0.6951,0.8462,0.571,0.7935,0.6716,0.8463,0.8943
31,0.6733,0.8197,0.5531,0.7531,0.6501,0.8225,0.882
32,0.6528,0.7947,0.5362,0.712,0.6311,0.7989,0.8699
33,0.6336,0.7713,0.5204,0.678,0.609,0.7753,0.8594
34,0.6154,0.7492,0.5055,0.6545,0.5858,0.7579,0.8491
35,0.5983,0.7284,0.4915,0.6298,0.5624,0.7358,0.8388
36,0.5721,0.6965,0.47,0.6006,0.5335,0.7161,0.8286
37,0.5478,0.6668,0.4499,0.5785,0.5048,0.6997,0.8185
38,0.525,0.6392,0.4313,0.5517,0.4832,0.6899,0.8084
39,0.5038,0.6133,0.4138,0.5331,0.4572,0.6805,0.7983
40,0.4839,0.5891,0.3975,0.5174,0.4322,0.6696,0.7884
41,0.4556,0.5546,0.3742,0.4958,0.4103,0.658,0.7785
42,0.4295,0.5229,0.3528,0.4754,0.3905,0.6467,0.7687
43,0.4055,0.4936,0.3331,0.4586,0.374,0.6352,0.759
44,0.3833,0.4666,0.3149,0.4539,0.3557,0.6226,0.7493
45,0.3628,0.4417,0.298,0.4418,0.3385,0.6103,0.7397
46,0.3438,0.4186,0.2824,0.4323,0.3223,0.5984,0.7302
47,0.3262,0.3971,0.2679,0.425,0.3097,0.5868,0.7226
48,0.3098,0.3772,0.2545,0.4178,0.307,0.5804,0.716
