,ID,logL_agn,logL_ir,logL_ir_eup,logL_ir_elow,ul,,z
0,J002025,47.14,46.00840539,,,1,1.02E+46,2.018471
1,J222247,47.22,45.3657576,,,0,2.32E+45,2.92664
2,J090000,47.18,46.3204208,,,1,2.09E+46,2.985881
3,J085847,47.12,46.64471452,,,1,4.41E+46,2.159405
4,J085823,46.87,46.61139239,,,1,4.09E+46,2.855966
5,J101112,47.23,46.07070314,,,0,1.18E+46,2.469348
6,J095112,46.83,46.25364079,,,0,1.79E+46,2.374143
7,J091247,46.86,46.4163908,,,1,2.61E+46,2.87573
8,J091047,47.05,46.70277006,,,1,5.04E+46,3.29219
9,J111312,47.02,46.06961946,,,0,1.17E+46,2.247038
10,J083247,46.85,47.1123358,,,1,1.30E+47,2.423938
11,J082136,46.86,45.93491501,,,0,8.61E+45,3.114784
12,J081935,46.97,46.45935166,,,1,2.88E+46,3.200204
13,J111935,46.98,46.09669499,,,0,1.25E+46,2.393236
14,J113159,47.1,46.14507076,,,0,1.40E+46,2.91563
15,J005228,46.81,46.44709317,,,1,1.88E+46,2.450515
16,J122647,46.97,46.24356356,,,1,1.75E+46,2.622279
17,J123136,47.08,46.29515861,,,1,1.97E+46,3.146968
18,J124800,46.88,46.12906685,,,0,1.35E+46,2.785399
19,J095423,46.99,46.83659891,,,1,1.33E+47,3.398926
20,J135600,46.89,45.94829973,,,1,1.91E+46,2.337173
21,J141823,47.09,46.34956512,,,1,6.91E+46,2.520465
22,J215711,46.98,46.4826744,,,0,1.36E+46,2.035
23,J210824,47.38,46.34572757,,,1,5.09E+46,2.348147
24,J212335,47.67,45.87102111,,,0,9.76E+45,2.233398
25,J233447,47.39,46.76478829,,,1,7.61E+46,3.326056
26,J005814,47.2,46.1277699,,,1,1.34E+46,2.51976
27,J005202,47.14,45.83696715,,,0,6.87E+45,2.269
28,J010611,47.01,46.65072774,,,1,4.47E+46,3.121
29,J010226,46.97,46.67267212,,,1,4.71E+46,2.53
